zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,preMarketPrice,logo_url
400096,Consumer Cyclical,34,"Goldiam International Limited manufactures and sells diamond studded gold and silver jewelry in India. The company operates in two segments, Jewellery Manufacturing Activity and Investment Activity. Its products include engagement rings, wedding bands, anniversary rings, bridal sets, earrings, pendants, and necklaces. The company also exports its products to the United States, Europe, and other countries. Goldiam International Limited was incorporated in 1986 and is headquartered in Mumbai, India.",Mumbai,91 22 2829 1893,India,[],https://www.goldiam.com,1,Gems & Jewellery Complex,Luxury Goods,"M.I.D.C., SEEPZ Andheri (East)",0.20693001,0.12628001,0.32645,,0.412,0.20073,1413867264,,none,1391908000,,,153.3,-0.099,,,,,11.329,,,2133561984,582556032,6832625152,19.579,INR,62.121,,,NSI,GOLDIAM INTERNATL,Goldiam International Limited,Asia/Kolkata,IST,False,19800000,EQUITY,GOLDIAM.NS,finmb_20343693,in_market,,2.219,,10.724,1.2461426,,,,108975000,,,,45.153,,,,1617148800,7e-05,862825984,7.845,0.6,0.05508423,3.3951232,0.71870005,1680220800,,1640908800,,,29465485,0.878828,15162380288,2,,1648425600,5:1,,1645056000,,-0.115,2.4482005,,,,,,,,0,,,153.75,154.5,165.8071,0.0078048785,0.1272,,156.5,,269212,153.75,160.6528,1.2,154.5,,269212,,,1.6,1645056000,,,151.85,INR,19.54111,127559,,,,16727635968,,,379248,151.85,0.0,0,127559,229.8,,,65.24,0,False,0.0105,0,156.5,153.3,,https://logo.clearbit.com/goldiam.com
500081,Technology,143,"Goldstone Technologies Limited operates as a business intelligence (BI), data analytics, and IT services consulting firm in India and internationally. The company operates in two segments, Information Technology/Software Services and Software License Resale. It offers BI and analytics and product solutions, such as Tableau, a visualization BI, cloud solutions, and other BI solutions. The company's BI and analytics solutions comprise analytics consulting, data engineering, data science, cloud strategy and implementation, and enablement services; managed IT services; and IT staff augmentation services. The company was incorporated in 1994 and is based in Hyderabad, India.",Hyderabad,91 40 6628 4999,India,[],https://www.goldstonetech.com,1,GNR’s Insignia Building,Information Technology Services,2nd Floor Image Garden Road Madhapur,0.028250001,0.0044299997,0.10554,,0.291,0.022809999,17425000,,none,49160000,,,73.6,,,,,,10.358,,,102251000,47004000,616920000,4.316,INR,27.703,,,NSI,GOLDSTONE TECHNO,Goldstone Technologies Limited,Asia/Kolkata,IST,False,19800000,EQUITY,GOLDTECH.NS,finmb_1054807,in_market,,2.746,,97.235,6.0669856,,,,34582100,,,,24.224,,,,1617148800,0,2730000,0.118,0.6,0.05508423,3.0383089,0.63925,1680220800,,1640908800,,,6863730,-0.331557,1694326656,2,,,,,1221696000,,,4.1368923,,,,,,,,0,,,72.45,75.25,53.525,0,0,,75.25,,69570,72.45,69.914,0,75.25,,69570,,,,1221696000,,,71.3,INR,623.7288,44521,,,,2552131584,,,69570,71.3,0.0,0,44521,119.75,,,9.0,0,False,,0,75.25,73.6,,https://logo.clearbit.com/goldstonetech.com
201001,Basic Materials,2102,"Goodluck India Limited manufactures and exports a range of galvanized sheets and coils, towers, hollow sections, cold rolled coils, flanges, and pipes and tubes worldwide. The company provides galvanized pipes, including welded tubes and pipes, hot dip galvanized pipes, black pipes, grooved pipes, pre galvanized pipes, and casing and screen pipes; square and rectangular pipes, such as square, rectangular, and round hollow sections; and cold rolled coils and sheets, galvanized coils, galvanized sheets, cold rolled close annealed, and pickling and oiling of HR coils. It also offers cold drawn welded (CDW) tubes comprising CDW/DOM, seamless, precision, bicycle frame, engineering, boiler, heat exchanger, propeller shaft, transformer, fuel and air, furniture, structural, and telescopic front fork tubes, as well as bobbin tubes for textile machines, automotive shock absorbers, and steel tubes for automobiles. In addition, the company provides forgings; and substation structures, support structures for boiler and other equipment, infrastructure project structures, ducting support structures, solar module mounting structures, and fabricated equipment, as well as transmission and telecom towers. It serves clients from public sector, private sector OEMs, and central and state government departments. The company was formerly known as Good Luck Steel Tubes Limited and changed its name to Goodluck India Limited in June 2016. Goodluck India Limited was incorporated in 1986 and is based in Ghaziabad, India.",Ghaziabad,91 12 0419 6600,India,[],https://www.goodluckindia.com,1,Good Luck House,Steel,"II Floor 166-167, Nehru Nagar Ambedkar Road",0.06835,0.024549998,0.26495,,0.676,0.05652,1639346560,,none,4412787000,,,323,0.622,,,,,114.17,,,113121000,4811752960,23984979968,4.376,INR,967.149,,,NSI,GOODLUCK INDIA LTD,Goodluck India Limited,Asia/Kolkata,IST,False,19800000,EQUITY,GOODLUCK.NS,finmb_20905981,in_market,,0.541,,7.917,3.4641113,,,,26006200,,,,167.424,,,,1617148800,0,588940992,23.748,1.5,0.05508423,1.9292336,0.70488,1680220800,,1640908800,,,9431862,1.062139,12979044352,2,,,,,1628121600,,0.823,0.35021928,,,,,,,,0,,,319.0,324.0,296.35,0,0.0636,,329.0,,27204,319.0,308.865,0,324.0,,27204,,,1.5,1628121600,,,305.2,INR,13.601146,26881,,,,8400002560,,,24676,305.2,0.0,0,26881,400.0,,,70.25,0,False,0.0047,0,329.0,323,,https://logo.clearbit.com/goodluckindia.com
110025,Consumer Cyclical,927,"Goodyear India Limited manufactures and trades in tires, tubes, and flaps under the Goodyear brand in India. The company offers automotive tires, such as farm and commercial truck tires, as well as passenger radial tires. It supplies tires to original equipment manufacturers. The company was incorporated in 1922 and is based in New Delhi, India. Goodyear India Limited is a subsidiary of Goodyear Orient Company (Private) Limited.",New Delhi,91 11 4747 2727,India,[],https://www.goodyear.co.in,1,ABW Elegance Tower,Auto Parts,1st Floor Plot No. 8 Commercial Centre Jasola,0.08442,0.05347,0.28366,,0.176,0.06468,2032700032,,none,5928100000,,,911,-0.603,,,,,2.324,,,4753800192,157600000,24078299136,206.039,INR,1043.872,,,NSI,GOODYEAR(INDIA),Goodyear India Limited,Asia/Kolkata,IST,False,19800000,EQUITY,GOODYEAR.NS,finmb_9617796,in_market,,0.682,,8.078,0.041564226,,,,23066500,,,,294.102,,,,1617148800,0.07004,1287399936,55.81,80,0.05508423,3.097565,0.75547,1680220800,,1640908800,,,5641423,0.891256,16420412416,2,,,,,1628121600,,-0.603,0.87410724,,,,,,,,0,,,917.1,925.0,1013.775,0.019627087,0.3225,,926.25,,24116,917.1,917.148,18,925.0,,24116,,,18,1628121600,,,910.0,INR,16.323238,12022,,,,21047015424,,,15300,910.0,0.0,,12022,1331.85,,,783.0,0,False,0.0198,,926.25,911,,https://logo.clearbit.com/goodyear.co.in
492004,Basic Materials,2712,"Godawari Power & Ispat Limited, together with its subsidiaries, manufactures and sells steel products primarily in India. The company offers iron ore pellets, sponge iron, iron and steel billets, MS rounds, steel wires, HB wires, wire rods, silico manganese, fly ash bricks, and ferro alloys. It is also involved in the generation and sale of solar power and iron ore mining activities. The company was formerly known as Ispat Godawari Ltd. Godawari Power & Ispat Limited was incorporated in 1999 and is based in Raipur, India.",Raipur,91 77 1408 2000,India,[],https://www.godawaripowerispat.com,1,Hira Arcade,Steel,First Floor Near New Bus Stand Pandri,0.38278,0.26157,0.58474,,0.42,0.35659,20298653696,50,underperform,22035321000,,50,480,1.187,,,1,50,16.811,,50,803900032,4691200000,53029384192,6.104,INR,385.97,,4,NSI,GODAWARI POWER,Godawari Power & Ispat Limited,Asia/Kolkata,IST,False,19800000,EQUITY,GPIL.NS,finmb_26524152,in_market,,1.302,,3.4,-0.37534195,,-5,,140944992,,,,183.986,,,,1617148800,0.0049,13871075328,100.958,13.5,0.05508423,2.6088943,0.58584,1680220800,,1640908800,,,39871889,1.76387,69019369472,2,,1635206400,2:1,,1628726400,,1.043,1.2814963,,,,-96,,,,0,,,479.25,483.0,629.7194,0.0070422534,0.0571,,493.0,,1066286,479.25,362.382,3.375,483.0,,1066286,,,5.88,1628726400,,,471.05,INR,4.754452,984721,,,,67956957184,,,661236,471.05,0.0,0,984721,1848.0,,,231.35,0,False,0.0123000005,0,493.0,480,,https://logo.clearbit.com/godawaripowerispat.com
400079,Industrials,476,"Gujarat Pipavav Port Limited engages in the construction, operation, and maintenance of port at Pipavav in Gujarat, India. It provides port services, including marine services, berth hire, wharfage, container handling, yard operations, stevedorage, and other services. The company's port handles container cargo, such as cotton, wood pulp, sesame seeds, cattle feeds, agricultural products, ceramic tiles, soda ash, auto parts, spices, capital goods, scrap, water paper, and electronics; bulk and break bulk cargo, such as coal, cement, clinker, fertilisers, steel, iron ore, agri-products, salt, and soda ash; and liquid cargo, including LPG, POL, chemicals, vegetable oils, bitumen, etc., as well as offers roll-on roll-off, storage, maritime personnel, towage, rail-out by bill of lading services. Gujarat Pipavav Port Limited was incorporated in 1992 and is based in Mumbai, India.",Mumbai,91 22 5072 1324,India,[],https://www.pipavav.com,1,"501-502, Godrej Two",Marine Shipping,Pirojshanagar Vikhroli East,0.53844,0.26286,0.65515,,-0.15,0.38259998,3856869888,93,buy,4891180000,,108,90.5,-0.24,,,16,115.5,1.604,,165,7179060224,353080000,7163049984,14.809,INR,14.802,,1.9,NSI,GUJARAT PIPAVAV PO,Gujarat Pipavav Port Limited,Asia/Kolkata,IST,False,19800000,EQUITY,GPPL.NS,finmb_169224,in_market,,5.169,,9.599,-0.05535251,,6.57,,483440000,,,,45.438,,,,1617148800,0.37082002,1882909952,3.89,1.6,0.05508423,1.991725,0.45325002,1680220800,,1640908800,,,271454021,0.505548,37022605312,2,,,,,1637712000,,-0.241,6.107918,,4.1,,13.774734,,,,0,,,90.95,91.95,99.311,0.04398021,1.0283,,91.95,,2265275,90.95,86.333,4,91.95,,2265275,,,4,1637712000,,,90.0,INR,23.26478,450283,,,,43751321600,,,963634,90.0,0.0,0,450283,124.3,,4.27,76.05,0,False,0.0442,0,91.95,90.5,,https://logo.clearbit.com/pipavav.com
700 106,Industrials,894,"GPT Infraprojects Limited, together with its subsidiaries, engages in the execution of civil and infrastructure projects in India and internationally. It operates in two segments, Infrastructure and Concrete Sleepers. The company constructs and repairs roads, bridges, flyovers, highways, airports, and irrigation and railway systems, as well as power, urban transit, industrial, and civil aviation infrastructure; and railway sidings, merry-go-round railways, roads, industrial parks, factories, etc. It also manufactures and sells monoblock and PSC sleepers for various track applications, including monoblock sleepers for broad, cape, and dual gauges, as well as line sleepers, bridge deck sleepers, and level crossing and switch expansion joints. GPT Infraprojects Limited was incorporated in 1980 and is based in Kolkata, India.",Kolkata,91 33 4050 7000,India,[],https://www.gptinfra.in,1,GPT Centre,Engineering & Construction,"JC-25, Sector-III Salt Lake",0.12706,0.03525,0.31913,,-0.065,0.09498,790027264,,none,1842241000,,,80.55,0.194,,,,,104.628,,,197452000,2598144000,6217655808,6.792,INR,213.573,,,NSI,GPT INFRAPROJECTS,GPT Infraprojects Limited,Asia/Kolkata,IST,False,19800000,EQUITY,GPTINFRA.NS,finmb_84011413,in_market,,0.765,,6.019,1.2822695,,,,29086000,,,,81.292,,,,1617148800,0.099350005,219176000,7.528,1.5,0.05508423,0.99087244,0.76009005,1680220800,,1640908800,,,4110200,2.285841,4755541504,2,,1499904000,2:1,,1644364800,,0.195,0.37821603,,,,,,,,0,,,81.9,84.4,83.193,0.03052503,0.33200002,,84.4,,45422,81.9,77.454,2.5,84.4,,45422,,,4,1644364800,,,80.0,INR,10.700054,27880,,,,2351617024,,,61169,80.0,0.0,0,27880,107.85,,,34.8,0,False,0.048800003,0,84.4,80.55,,https://logo.clearbit.com/gptinfra.in
500081,Healthcare,3369,"Granules India Limited manufactures and sells active pharmaceutical ingredients (APIs), pharmaceutical formulation intermediates, and finished dosages (FDs) in India, North America, Europe, Latin America, and internationally. The company's APIs in various therapeutic categories include anti-retrovirals, anti-hypertensives, anti-histamines, anti-infectives, analgesics, anti-coagulants, anti-fibriotics, and platelet inhibitors.It also offers various FDs, such as tablets, caplets, and press-fit capsules in bulk, blister packs, and bottles; and other specialty products for oncology. The Company also exports its products. Granules India Limited was founded in 1984 and is based in Hyderabad, India.",Hyderabad,91 40 3066 0000,India,[],https://www.granulesindia.com,1,My Home Hub,Drug Manufacturers—Specialty & Generic,2nd Floor 3rd Block Madhapur,0.20809,0.121479996,0.49956,,0.18,0.16352,7354605568,,none,18462694000,,,299.85,-0.314,,,,,41.308,,,3585933056,9752773632,35342606336,14.467,INR,142.633,,,NSI,GRANULES INDIA,Granules India Limited,Asia/Kolkata,IST,False,19800000,EQUITY,GRANULES.NS,finmb_12752639,in_market,,2.278,,10.947,-0.121283114,,,,248006000,,,,95.402,,,,1617148800,0.19813,4293297920,17.246,0.25,0.05508423,3.1430159,0.45466,1680220800,,1640908800,,,139616767,0.464713,80513613824,2,,1427068800,10:1,,1645056000,,-0.313,2.1051583,,,,,,,,0,,,301.7,304.4,325.278,0.004971826,0.087,,304.95,,1019758,301.7,304.203,1.5,304.4,,1019758,,,1.5,1645056000,,,297.6,INR,17.38664,1197280,,,,74401783808,,,1242222,297.6,0.0,0,1197280,404.8,,0.69,265.2,0,False,0.005,0,304.95,299.85,,https://logo.clearbit.com/granulesindia.com
700016,Industrials,1748,"Graphite India Limited manufactures and sells graphite electrodes, and carbon and graphite specialty products in India and internationally. It operates in two segments, Graphite and Carbon, and Others. The company offers a range of graphite electrodes with various diameter and power for AC and DC furnaces. It also provides extruded graphite in the form of rods and blocks, mini rods, graphite tubes, heat exchanger tubes, molded mold and isostatically moulded graphite, machined components of carbon and graphite, carbon graphite/bricks, and carbon composites/brake discs. In addition, the company offers calcined petroleum coke, carbon electrode paste, graphite granules and fines, and carbonaceous materials to aluminum, steel, ferro alloy, and foundry castings industries; and impervious graphite heat exchangers, which are used as condensers, coolers, heaters, re-boilers, evaporators, interchangers, and graphite columns for distillation, absorption and scrubbing, ejector systems, and centrifugal pumps. Further, the company provides HCl synthesis and dry HCl gas generation units, and H2SO4/HCl concentration and acid dilution cooling units; bursting discs, thermos-wells, pipes, and pipe fittings; glass fiber reinforced plastic pipes, joints, and fittings; and high speed, alloy tool, and powder metallurgy steels for cutting tools. Additionally, it generates and sells electricity through a hydel power plant. The company was founded in 1962 and is headquartered in Kolkata, India. Graphite India Limited is a subsidiary of Emerald Company Private Limited.",Kolkata,91 33 4002 9600,India,[],https://www.graphiteindia.com,1,31 Chowringhee Road,Electrical Equipment & Parts,,0.20923,0.17255,0.54597,,0.764,0.19062,5746699776,,none,7355800000,,,554,4.672,,,,,5.865,,,21670000640,2769999872,27466199040,110.813,INR,140.306,,,NSI,GRAPHITE INDIA,Graphite India Limited,Asia/Kolkata,IST,False,19800000,EQUITY,GRAPHITE.NS,finmb_882655,in_market,,3.261,,15.585,-0.1176424,,,,195376000,,,,241.685,,,,1617148800,0.12267,4739200000,24.209,5,0.05508423,2.29224,0.65911,1680220800,,1640908800,,,66659022,1.403462,89564889088,2,,1165795200,5:1,,1628467200,,4.739,3.943969,,,,,,,,0,,,560.7,563.55,548.50775,0,0.2058,,570.0,,1821039,560.7,506.973,0,563.55,,1821039,,,5,1628467200,,,552.6,INR,22.884052,662720,,,,108325838848,,,1299716,552.6,0.0,0,662720,815.9,,,396.0,0,False,0.009,0,570.0,554,,https://logo.clearbit.com/graphiteindia.com
400030,Basic Materials,23500,"Grasim Industries Limited operates in fibre, yarn, pulp, chemicals, textile, fertilizers, and insulators businesses in India and internationally. The company operates through Viscose, Chemicals, Cement, Financial Services, and Others segments. It provides viscose staple fiber, a man-made biodegradable fiber for use in apparels, home textiles, dress materials, knitted wear products, and non-woven applications; wood pulp products; viscose filament yarn, a natural fibre for manufacturing fabrics; and textile products, such as linen and wool. The company also offers various chemical products, including chlor-alkali and epoxy resin products; and fertilizers comprising neem-coated urea, soil and crop specific customised fertilizers, seeds, agrochemicals, and plant and soil health products under the Birla Shaktiman brand name. In addition, it provides electrical insulators for transmission lines and substations, as well as equipment and railways. Further, the company offers grey cement; white cement under the Birla White brand; ready mix concrete; and cement-based putty. Additionally, it provides various financial services comprising non-bank financial, life insurance, asset management, housing finance, equity broking, wealth management, general insurance advisory, and health insurance services. The company is also involved in solar power designing, engineering procurement, and commissioning business. Grasim Industries Limited was incorporated in 1947 and is based in Mumbai, India.",Mumbai,91 22 6652 5000,India,[],https://www.grasim.com,1,Aditya Birla Centre,Building Materials,"‘A’ Wing, 2nd Floor S.K. Ahire Marg Worli",0.22707,0.07107,0.58378,,0.163,0.186,207287451648,1732,buy,477923700000,,1940,1763.8,0.261,,,7,1946.43,65.541,,2160,190110007296,713617178624,912886595584,289.606,INR,1390.321,,1.6,NSI,GRASIM INDUSTRIES,Grasim Industries Limited,Asia/Kolkata,IST,False,19800000,EQUITY,GRASIM.NS,finmb_877959,in_market,,2.262,,9.964,0.33309424,,41.21,,658294976,,,,1075.59,,,,1617148800,0.22184,63695699968,98.669,4,0.05508423,1.6398443,0.47483003,1680220800,,1640908800,,,346536581,0.706169,2065322999808,2,,1475712000,5:1,,1628726400,,0.262,1.2719002,,,,42.800293,,,,0,,,1755.5,1757.0,1651.2853,0,0.0511,,1778.0,,1304933,1755.5,1641.086,0,1757.0,,1304933,,,5,1628726400,,,1738.4,INR,17.875929,836083,,,,1161100656640,,,1065909,1738.4,0.0,0,836083,1929.8,,0.6,1262.0,0,False,0.0028,0,1778.0,1763.8,,https://logo.clearbit.com/grasim.com
400101,Basic Materials,852,"Grauer & Weil (India) Limited primarily manufactures and sells chemical and engineering products in India and internationally. It operates through Surface Finishing, Engineering, and Mall segments. The company offers various chemical products, such as pre-treatment, general plating, conversion coating, PCB and electronics, lacquers, precious metal, intermediates, strippers, protective post treatment, blackening and basic chemicals, zinc flake coatings, and continuous plating chemical products, as well as electroplating and specialty chemicals, and phosphating and anodizing chemicals. It also provides lubricants comprising rust preventives, cutting and hydraulic oils, lubricating and spindle oils, circulating oils, MS and steel wire drawing oils, gear oils, vanish and deep draw oils, EDM and heat treatment oils, tube drawing fluids, wire drawing fluids, glass grinding fluids, chain oils, cleaners, and blanking oils. In addition, the company offers customized turnkey plants and their components for surface finishing, effluent and waste-water treatment, and other engineering products. Further, it provides coatings, such as marine, protective, pipe, architectural, and automotive and general industrial coatings; and operates shopping mall. The company also exports its products to approximately 50 countries. Grauer & Weil (India) Limited was incorporated in 1957 and is headquartered in Mumbai, India.",Mumbai,91 22 6699 3000,India,[],https://www.growel.com,1,Growel Corporate,Specialty Chemicals,Akurli Road Kandivli (East),0.16802,0.12038,0.45298,,0.189,0.14597,1264423936,,none,2873845000,,,60.85,-0.037,,,,,1.909,,,2445100032,105200000,7525332992,10.795,INR,33.175,,,NSI,Grauer & Weil Ind Ltd,Grauer & Weil (India) Limited,Asia/Kolkata,IST,False,19800000,EQUITY,GRAUWEIL.NS,finmb_20343743,in_market,,1.522,,9.059,-0.04169947,,,,226706000,,,,24.331,,,,1617148800,0.00022,905902976,3.994,0.5,0.05508423,2.5009248,0.71346,1680220800,,1640908800,,,63131433,0.354638,11454245888,2,,,,,1632096000,,-0.04,1.8331494,,,,,,,,0,,,59.35,59.05,60.41648,0,0.125,,62.35,,283511,59.35,57.419,0,59.05,,283511,,,0.5,1632096000,,,59.05,INR,15.2353525,560804,,,,13795059712,,,251377,59.05,0.0,,560804,70.9,,,43.3,0,False,0.0082,,62.35,60.85,,https://logo.clearbit.com/growel.com
302004,Industrials,1319,"Gravita India Limited manufactures and recycles aluminum, lead, and lead products in India and internationally. It operates through Lead Processing, Aluminium Processing, Turn-Key Solutions, and Plastic Manufacturing segments. The company manufactures lead metal products, including pure lead/refined lead ingots and remelted lead ingots, as well as lead-antimony alloy, lead-calcium alloy, selenium, copper, tin, arsenic, etc. It also provides lead products comprising sheets, powder, plates, balls, wires, bricks, wool, foils, cames, flanges, blankets, weights, sheaths, pipes, anodes, and lead coolants for nuclear power application. In addition, the company offers lead chemicals and oxides consisting of lead sub oxide, red lead, lead nitrate, litharge, and lead mono silicate products; and radiation protection products for a range of radiation shielding applications. Further, it manufactures aluminum alloy ingots; and plastic products, such as polypropylene granules and PET bottle flakes, as well as provides turn-key solutions for lead-acid battery recycling processes and plants. The company also exports its products. Gravita India Limited was incorporated in 1992 and is based in Jaipur, India.",Jaipur,91 14 1262 3266,India,[],https://www.gravitaindia.com,1,Gravita Tower,Metal Fabrication,"A-27B, Shanti Path Tilak Nagar",0.09688,0.06007,0.20282,,0.49,0.08691,1925845248,171,buy,2605318000,,171,311,1.494,,,1,171,95.723,,171,353100000,3225299968,19877791744,5.217,INR,293.768,,2,NSI,GRAVITA INDIA LTD,Gravita India Limited,Asia/Kolkata,IST,False,19800000,EQUITY,GRAVITA.NS,finmb_69633011,in_market,,1.201,,12.397,2.664493,,12.62,,69037904,,,,48.547,,,,1617148800,0.000120000004,1194014976,17.646,3,0.05508423,6.406163,0.78866994,1680220800,,1640908800,,,12864610,1.284065,23874981888,2,,1337904000,5:1,,1644278400,,1.497,1.0850319,,,,24.643423,,,,0,,,311.0,312.3,254.973,0.009646302,0.0624,,313.8,,78235,311.0,349.158,3,312.3,,78235,,,6,1644278400,,,307.0,INR,17.624392,53203,,,,21568036864,,,260666,307.0,0.0,0,53203,398.0,,0.95,81.0,0,False,0.0194,0,313.8,311,,https://logo.clearbit.com/gravitaindia.com
400070,Industrials,1101,"Greaves Cotton Limited manufactures and sells engines and engine application products in India. The company offers lightweight diesel/gasoline engines for automotive engine applications, such as 3-wheelers and small 4-wheeled commercial vehicles; non-automotive small engines for agriculture, construction, marine, genset, and other industries; and industrial and firefighting engines. It also provides generator sets; petrol kerosene, diesel, electric, OHV pumpsets; power tillers; light agri equipment; and drip and sprinklers irrigation systems. In addition, the company manufactures spares, such as engine and electrical parts, lubricants, amsoil, batteries, construction products, tires, and 2 wheeler spares; and trades in power tillers, spares related to engines, electric vehicles and infrastructure equipment, etc. It also exports its products to the Middle East, Africa, and the South East Asia region. The company was founded in 1859 and is based in Mumbai, India.",Mumbai,91 22 4171 1700,India,[],https://www.greavescotton.com,1,"Unit No. 701, Tower 3",Specialty Industrial Machinery,"7th Floor Equinox Business Park LBS Marg, Kurla West",0.01284,-0.02384,0.26643,,-0.017,-0.01843,206700000,,none,4137000000,,,199.7,,,,,,5.723,,,2970400000,420600000,16092800000,12.853,INR,69.714,,,NSI,GREAVES COTTON LTD,Greaves Cotton Limited,Asia/Kolkata,IST,False,19800000,EQUITY,GREAVESCOT.NS,finmb_878644,in_market,,2.714,,211.284,0.5854142,,,,231520992,,,,31.874,,,,1617148800,0.11322,-383600000,-1.662,0.2,0.05508423,6.2652946,0.56304,1680220800,,1640908800,,,90064000,0.970705,43672420352,2,,1290556800,5:1,,1627948800,,,2.873008,,,,,,,,0,,,193.3,195.25,161.722,0,,,204.9,,3639607,193.3,183.734,0,195.25,,3639607,,,0.2,1627948800,,,192.4,INR,,4897342,,,,46234742784,,,3689775,192.4,0.0,0,4897342,258.9,,,120.15,0,False,0.001,0,204.9,199.7,,https://logo.clearbit.com/greavescotton.com
110037,Consumer Cyclical,1900,"Greenlam Industries Limited manufactures and sells laminates, decorative veneers, and their allied products in India and internationally. It operates through Laminate & Allied Products and Veneer & Allied Products segments. The company provides laminates for homes, kitchens, offices, or other premises; decorative and designer laminates for kitchen, living room, office, or commercial spaces; compact laminates for restroom cubicles, lockers, furniture, panels, work tops, lab furniture, facades, etc.; and laminates for exterior and interior claddings. It also offers melamine faced chip boards; decorative veneers; engineered wood flooring products; and engineered doors and door frames. The company provides its products under the Greenlam Laminates, New Mika, Decowood, Greenlam Sturdo, Greenlam Clads, Mikasa Floors, and Mikasa Doors & Frames brands. It serves institutions, and hospitality and health care sectors, and luxury retail and fast food chains. The company sells its products through a network of distributors, dealers, and retailers. Greenlam Industries Limited was incorporated in 2013 and is based in New Delhi, India.",New Delhi,91 11 4279 1399,India,[],https://www.greenlamindustries.com,1,Worldmark 1,"Furnishings, Fixtures & Appliances","West Wing, 2nd Floor Aerocity IGI Airport Hospitality District",0.11946999,0.05784,0.45376,,0.342,0.093030006,1985072000,,none,5969175000,,,396,-0.156,,,,,47.97,,,1035649984,2881178112,16616180736,8.585,INR,137.676,,,NSI,GREENLAM INDUSTRIE,Greenlam Industries Limited,Asia/Kolkata,IST,False,19800000,EQUITY,GREENLAM.NS,finmb_247965768,in_market,,2.968,,24.844,1.0252187,,,,120682000,,,,49.736,,,,1617148800,0.1387,961140992,7.964,1,0.05508423,7.9620395,0.76061994,1680220800,,1640908800,,,26926986,0.902796,49316171776,2,,1644451200,5:1,,1628035200,,-0.157,2.888533,,,,,,,,0,,,383.5,391.0,312.85934,0,0.12560001,,418.3,,54059,383.5,356.2494,0,391.0,,54059,,,1,1628035200,,,388.25,INR,49.723755,228195,,,,47996387328,,,50719,388.25,0.0,0,228195,418.3,,,190.27,0,False,0.0025,0,418.3,396,,https://logo.clearbit.com/greenlamindustries.com
